categorie,name,unitTogramme,energieKcal,energieKj,eau,proteines,glucides,sucres,lipides,agSature,fibres,sel,sodium,calcium,fer,vitamineD,vitamineC,vegan,glutenFree,pregnantPermission,Code CIQUAL,Emballage,EF(mPt/kg),ChangementClimatique(kgCO2eq/kg),AppauvrissementCoucheOzone(E-06kgCVC11eq/kg),RayonnementsIonisants(kBqU-235eq/kg),FormationPhotochimiqueOzone(E-03kgNMVOCeq/kg),Particules (E-06 disease inc./kg),Acidification terrestre et eaux douces (mol H+ eq/kg),Eutrophisation terreste (mol N eq/kg),Eutrophisation eaux douces (E-03 kg P eq/kg),Eutrophisation marine (E-03 kg N eq/kg),Utilisation du sol (Pt/kg),Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg),Épuisement des ressources eau (m3 depriv./kg),Épuisement des ressources énergétiques (MJ/kg),Épuisement des ressources minéraux (E-06 kg Sb eq/kg)
ALCOOL,Champagne,null,82,343.088,87,0.3,2.81,1.4,0,0,0,0.0048,1.93,7.15,0.11,0,0,TRUE,TRUE,FALSE,5207,Verre,0.18559681,1.1430841,0.23811007,0.49768874,5.5593881,0.0977174069999999,0.0097260211,0.027380354,0.27690145,7.2461282,9.4218239,115.33691,0.36376919,23.238124,4.6250337
ALCOOL,Vin rouge,null,82.1,343.5064,86.8,0.07,2.63,0.62,0,0,0,0.0025,01.01,5.96,0.56,0,0,TRUE,TRUE,FALSE,5214,Verre,0.18431703,1.1264953,0.19273809,0.39897699,5.3102038,0.098524717,0.0093733874,0.024880758,0.33893849,6.1685176,15.159813,104.37126,0.36086872,21.591963,12.131591
ALCOOL,Vin blanc,null,82,343.088,87.8,0.5,04.04,0.17,0,0,0,0.0063,2.5,7.1,0.34,0,0.5,TRUE,TRUE,FALSE,5215,Verre,0.18559681,1.1430841,0.23811007,0.49768874,5.5593881,0.09771740699999999,0.0097260211,0.027380354,0.27690145,7.2461282,9.4218239,115.33691,0.36376919,23.238124,4.6250336999999995
ALCOOL,Vin rosé,null,87,364.008,88.9,0,1.6,0,0,0,0,0.01,4,12,0.95,0,0,TRUE,TRUE,FALSE,5216,Verre,0.17428819,1.1066814,0.22492034,0.40229718,5.3556908,0.095481696,0.0093853767,0.026164297,0.26114659,6.828535400000001,9.1715719,108.29964,0.30136069,20.94526,4.4470844000000005
ALCOOL,Bière brune,null,35,146.44,92.7,0.43,4.1,4.1,0,0,0,0.029,11.6,6.91,0.02,0,0,TRUE,FALSE,FALSE,5000,Verre,0.12383059,1.0944464,0.2840711099999999,0.62119827,3.6102189,0.088293798,0.0075430145,0.017554682,0.19484816,2.0979008,19.849939,20.466649,0.36583564,25.475169,2.7708806
ALCOOL,Cidre brut,null,35,146.44,93.9,0,2.62,2.22,0,0,0,0.01,4.12,3.24,0.84,0,14.1,TRUE,TRUE,FALSE,5006,Verre,0.13635159,0.98267852,0.19978231,0.34306669,4.250402599999999,0.088597746,0.0078109285,0.018887451,0.1839339,1.6560927,10.355904,32.101462,3.1535037,18.699546,4.2233114
ALCOOL,Cidre doux,null,37.5,156.9,91.9,0.5,05.09,4.61,0.6,0,0,0.0098,3.9,17,0.1,0,0.5,TRUE,TRUE,FALSE,5007,Verre,0.13635159,0.98267852,0.19978231,0.34306669,4.250402599999999,0.088597746,0.0078109285,0.018887451,0.1839339,1.6560927,10.355904,32.101462,3.1535037,18.699546,4.2233114
ALCOOL,Bière blonde,null,34.6,144.7664,0,0.5,0.43,0.18,0.6,0,0,0.0073,2.9,3.5,0.005,0,0.5,TRUE,FALSE,FALSE,5001,Verre,0.12383059,1.0944464,0.2840711099999999,0.62119827,3.6102189,0.088293798,0.0075430145,0.017554682,0.19484816,2.0979008,19.849939,20.466649,0.36583564,25.475169,2.7708806
ALCOOL,Bière blanche,null,34.6,144.7664,0,0.5,0.43,0.18,0.6,0,0,0.0073,2.9,3.5,0.005,0,0.5,TRUE,FALSE,FALSE,5009,Verre,0.12383059,1.0944464,0.2840711099999999,0.62119827,3.6102189,0.088293798,0.0075430145,0.017554682,0.19484816,2.0979008,19.849939,20.466649,0.36583564,25.475169,2.7708806
ALCOOL,Pastis,null,274,1146.416,59.7,0,2.86,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,1000,Verre,0.1230363299999999,1.1565882,0.18307514,0.31848138,8.3989108,0.14163342,0.0072777644,0.014841716,0.16924558,1.2144347,21.322845,17.415179,0.27016888,19.992829,2.2005789
ALCOOL,Gin,null,265,1108.76,62.1,0,0,0,0,0,0,0.005,2,0,0.18,0,0,TRUE,TRUE,FALSE,1002,Verre,0.12296672,1.1563936,0.18296104,0.31724061,8.398469299999999,0.14162457,0.0072767646,0.014839737,0.16915911,1.2142155,21.322182,17.408287,0.26953301,19.965698,2.1994413
ALCOOL,Rhum,null,256,1071.104,63.5,0,0,0,0,0,0,0.0025,1,0,0.08,0,0,TRUE,TRUE,FALSE,1004,Verre,0.12296672,1.1563936,0.18296104,0.31724061,8.398469299999999,0.14162457,0.0072767646,0.014839737,0.16915911,1.2142155,21.322182,17.408287,0.26953301,19.965698,2.1994413
ALCOOL,Whisky,null,252,1054.368,63.9,0,0.096,0.096,0,0,0,0,0,0,0.02,0,0,TRUE,FALSE,FALSE,1005,Verre,0.12296672,1.1563936,0.18296104,0.31724061,8.398469299999999,0.14162457,0.0072767646,0.014839737,0.16915911,1.2142155,21.322182,17.408287,0.26953301,19.965698,2.1994413
ALCOOL,Vodka,null,242,1012.528,65.5,0,0,0,0,0,0,0.0025,1,0,0.025,0,0,TRUE,FALSE,FALSE,1008,Verre,0.12296672,1.1563936,0.18296104,0.31724061,8.398469299999999,0.14162457,0.0072767646,0.014839737,0.16915911,1.2142155,21.322182,17.408287,0.26953301,19.965698,2.1994413
ALCOOL,Crème de cassis,null,245,1025.08,47.1,0,41,40.9,0,0,0,0,0,16.6,0.62,0,5,TRUE,TRUE,FALSE,1021,Verre,0.22575608,1.4700535,0.22880898,0.37866127,5.426106,0.14422259,0.014735141,0.045957626,0.4994674899999999,5.9771886,8.4346452,74.806085,2.826975,26.950579,14.167291
ALCOOL,Cognac,null,228,953.952,68,0,1,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,1023,Verre,0.12296672,1.1563936,0.18296104,0.31724061,8.398469299999999,0.14162457,0.0072767646,0.014839737,0.16915911,1.2142155,21.322182,17.408287,0.26953301,19.965698,2.1994413
ALCOOL,Calvados,null,280,1171.52,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,1024,Verre,0.12296673,1.1563937,0.18296105,0.31724062,8.398469300000000,0.14162458,0.0072767647,0.014839738,0.16915912,1.2142156,21.322183,17.408288,0.26953302,19.965699,2.1994414
ALCOOL,Saké,null,133,556.472,78.4,0,5,0,0,0,0,0.005,2,5,0.1,0,0,TRUE,TRUE,FALSE,1026,Verre,0.12296672,1.1563936,0.18296104,0.31724061,8.398469299999999,0.14162457,0.0072767646,0.014839737,0.16915911,1.2142155,21.322182,17.408287,0.26953301,19.965698,2.1994413
BISCUITS,Pain brioché,null,356,1489.504,20.3,9.76,55.5,6.9,9.38,5.22,3.3,1.31,525,42.5,1,0.2,0,FALSE,FALSE,TRUE,7225,LPDE,0.26107002,2.6895628,0.16200138,0.63286466,5.4830985000000005,0.17547348,0.023881299,0.098167529,0.40250575,10.020257,123.98893,34.588355,1.7151405,26.284601,3.1280634
BISCUITS,Croissant au beurre,null,420,1757.28,21.1,6.61,45.7,7.3,22.6,15.1,2.5,1.16,463,22,0.7,0.25,0.71,FALSE,FALSE,TRUE,7620,PS,0.35555102,4.2001445,0.19737042,0.64721219,7.5573891,0.2456618,0.032629634,0.13422905,0.52955946,12.452081,154.03276,38.615578,2.6499263,29.377656,4.6657227
BISCUITS,Pain au lait,null,382,1598.288,23.7,8.55,50.6,9.94,15.4,8.34,1.5,1.1,438,37.1,1.1,0.2,0,FALSE,FALSE,TRUE,7710,PS,0.35104554,3.5465768,0.19428824,0.66129301,7.162622000000001,0.26466875,0.036113905,0.15069932,0.50562306,12.830577,158.11515,45.718089,2.5457226,29.159314,4.1013862
BISCUITS,Brioche,null,374,1564.816,21.4,9.81,49.2,0,14.7,8.51,3,1.47,590,30,1.15,0.2,0,FALSE,FALSE,TRUE,7741,LPDE,0.47503919,4.9113198,0.25844678,0.741685,9.7315538,0.36486141,0.049791038,0.20790681,0.74382188,16.671525,208.07603,58.761817,3.657913,36.297592,5.7288563
